chunk1,chunk2,value,explanation
bites,bites,5,EQUI
costs,costs,5,EQUI
Bollywood,Bollywood,5,EQUI
cuts,cuts,5,EQUI
as rupee collapse,as rupee crisis,5,EQUI
killing,killing,5,EQUI
Tornadoes,Tornadoes,5,EQUI
rip,hit,5,EQUI
6,5,4,SIMI
through Midwest,U.S. Midwest,4,SPE2
rejects,rejects,5,EQUI
US hacking claims,` groundless ' US hacking accusations,3,SPE2
's new PM,China Premier Li,5,EQUI
New Zealand,New Zealand,5,EQUI
to legalise,to legalise,5,EQUI
gay marriage,same-sex marriage,5,EQUI
set,votes,3,SIMI
East Timor,East Timor,5,EQUI
amid killings,Amid Killings,5,EQUI
martial arts clubs,Martial Arts Schools,5,EQUI
bans,Bans,5,EQUI
at Boston Marathon,of Boston Marathon,5,EQUI
loud booms,two explosions,4,SPE2
election result,election result,5,EQUI
Kenya Supreme Court,Kenya SC,5,EQUI
upholds,upholds,5,EQUI
for Wednesday,for Today,3,SPE2
10 Things,10 Things,5,EQUI
to Know,to Know,5,EQUI
's Hugo Chavez,Venezuelan President Hugo Chavez,5,EQUI
dies,dies,5,EQUI
of cancer,of cancer,5,EQUI
's next chair,as New Central Bank Chief,4,SIMI
US Senate,US Senate,5,EQUI
Yellen,Janet Yellen,5,EQUI
confirms,Confirms,5,EQUI
in India anti-rape protests,in gang-rape protest,4,SPE1
Officer,Indian policeman,4,SPE2
injured,injured,5,EQUI
dies,dies,5,EQUI
US,U.S.,5,EQUI
in Syria,by Syria,5,EQUI
Determine,No Conclusive Evidence,4,REL
Chemical Weapons Use,of Chemical Arms Use,5,EQUI
Nobel Prize winning author Doris Lessing,Nobel laureate Doris Lessing,5,EQUI
dies,dies,5,EQUI
Yellen,Yellen,5,EQUI
as Fed head,'s next chair,4,SPE2
Senate,US Senate,4,SPE2
confirms,confirms,5,EQUI
buried,buried,5,EQUI
Boston bombing suspect,Boston bomb suspect,5,EQUI
in Virginia,in Virginia cemetery,4,SPE2
restored,resumes,5,EQUI
"Internet , phone service",Internet service,4,SPE1
in Syrian capital,in Syria,3,SPE1
Syrian PM,Syrian PM,5,EQUI
Bomb Attack,bomb attack,5,EQUI
Survives,survives,5,EQUI
for Nelson Mandela,for Nelson Mandela,5,EQUI
prays,in prayer and song,3,SPE2
South Africa,South Africa,5,EQUI
At least 38 Morsi supporters,of Morsi supporters,4,SPE1
die,killed,5,EQUI
in clashes,in Egypt clashes,4,SPE2
on iPhone disappointment,after earnings disappointment,3,SIMI
Apple shares,Apple stock,5,EQUI
to lure Gulf investors,to lure investors,4,SPE1
set,seeks,3,SIMI
Egypt,Egypt,5,EQUI
Miss America 2013,Miss America,4,SPE1
Miss New York,Miss New York,5,EQUI
Crowned,is crowned,5,EQUI
at mid-day,at mid-day,5,EQUI
KLCI Futures,KL shares,3,REL
mixed,mixed,5,EQUI
Iranian exiles,At least 47 Iranian exiles,4,SPE2
in Iraq camp,'s Camp Ashraf,4,SPE2
in London,in London,5,EQUI
Helicopter,Helicopter,5,EQUI
crashes,crashes,5,EQUI
China,China,5,EQUI
's new defense zone,'s new defense zone,5,EQUI
Japanese planes,"Japan , S Korean military planes",3,SPE2
flew into,defy,3,SIMI
Janet Yellen,Janet Yellen,5,EQUI
as US Federal Reserve chief,as next Federal Reserve Chair,4,SPE2
US Senate,Senate,4,SPE1
confirms,confirms,5,EQUI
rises,rises,5,EQUI
as Storm Xaver,"as wind , rain",4,SPE1
Death toll,Storm death toll,5,EQUI
batters,batters,5,EQUI
northern Europe,north . Europe,5,EQUI
in Lebanon,in Lebanon,5,EQUI
kidnap,kidnap,5,EQUI
airline pilots,2 Turkish Airlines pilots,3,SPE2
Gunmen,Gunmen,5,EQUI
U.S. drone strike,Pakistan drone strike,2,SIMI
5,up to six,4,SPE1
kills,kills,5,EQUI
push,pushes,5,EQUI
into strategic rebelheld town,on rebel-held town,4,SPE1
Syrian troops,Syrian army,5,EQUI
Thai opposition protesters,Thai protesters,4,SPE1
Bangkok shutdown,Bangkok ` shutdown ',5,EQUI
begin,launch,5,EQUI
on Syria Weapons,on Syria,4,SPE1
France,France,5,EQUI
after U.S.-Russia Deal,US-Russia Deal,5,EQUI
Hails,Welcomes,5,EQUI
About 60,61,4,SPE2
Crushed,dead,5,EQUI
in Ivory Coast Stampede,in Ivory Coast stampede,5,EQUI
Discipline,Discipline,5,EQUI
against student gunman,against student,4,SPE1
thought,thought,5,EQUI
on Benghazi attack,on Benghazi attack,5,EQUI
to testify,to testify,5,EQUI
Clinton,Clinton,5,EQUI
's custom-made wheelchair,'s wheelchair,4,SPE1
English Channel swimmer,Channel swimmer,4,SPE1
Thieves,Thieves,5,EQUI
snatch,steal,5,EQUI
to withdraw,to withdraw,5,EQUI
Kurdish rebels,Kurdish rebels,5,EQUI
from Turkey,from Turkey,5,EQUI
Iranian president,Iranian minister,4,SPE1
for new nuclear talks,for failed nuke talks,3,SIMI
Mandela,Mandela movie,3,REL
Queen,US presidents,3,SIMI
to Nelson Mandela,to Mandela,5,EQUI
pays tribute,pay tribute,5,EQUI
Iraq violence,Iraq violence,5,EQUI
kills,kills,5,EQUI
11,seven,3,SIMI
"US , UK chemical arms claims",chemical weapons,2,REL
Syria,Syria,5,EQUI
Obama,Obama,5,EQUI
jokes,pokes fun at,5,EQUI
' dinner,during press dinner,5,EQUI
21,20,4,SIMI
kill,kill,5,EQUI
in suicide attacks,Car bombs,3,SIMI
in Niger,near Syrian border,2,SIMI
's nuclear plant,into Iran nuclear deal,3,REL
in Pakistan,Pakistani police,2,REL
for March 11,for January 14,2,SIMI
News summary,News summary,5,EQUI
killed,Six dead,4,SIMI
by Indonesia volcano eruption,in Indonesian volcanic eruption,5,EQUI
Indonesia,Indonesia,5,EQUI
gay marriage bill,gay workers bill,4,SIMI
Hawaii,US Senate,2,SIMI
passes,passes,5,EQUI
Singapore stocks,Indian stocks,2,SIMI
0.4 % higher,higher,4,SPE1
close,open,4,OPPO
Say,Say,5,EQUI
"Mar. 12 , 2013","June 25 , 2013",3,SIMI
What,What,5,EQUI
the Papers,the Papers,5,EQUI
end up,close,5,EQUI
Singapore stocks,Singapore stocks,5,EQUI
0.11 pct,0.54 pct higher,3,SPE2
Pakistani girls,Pakistani girl,4,SIMI
of Oscar Pistorius,Oscar Pistorius,5,EQUI
' girlfriend Reeva Steenkamp,Steenkamp,5,EQUI
over Syria,for Syria,5,EQUI
's chemical weapons,'s chemical weapons,5,EQUI
Egypt,Egypt army,3,REL
Ten,Six,3,SIMI
rescued,rescued,5,EQUI
"off Waterford , Dublin coasts",in Dublin Bay,3,SPE2
Senior Pakistani Taliban commander,Pakistan Shi'ites,2,REL
from west Chinas violence,from NE China fire,3,SIMI
Death toll,Death toll,5,EQUI
rises,rises,5,EQUI
to 35,to 112,2,SIMI
South Korean soldiers,to South,2,REL
into North,North Korea,5,EQUI
Mandela family,Mandela family,5,EQUI
meets,to meet,5,EQUI
Obama,Obamas,5,EQUI
in hospital,hospital,5,EQUI
vs,against,5,EQUI
in early trade,in early trade,5,EQUI
8 paise,22 paise,3,SIMI
Rupee,Rupee,5,EQUI
down,up,4,OPPO
dollar,dollar,5,EQUI
open,close,4,OPPO
Indian stocks,Indian stocks,5,EQUI
lower,lower,5,EQUI
Four,Owner,2,SPE2
arrested,arrested,5,EQUI
rises,reaches,5,EQUI
to 352,372,3,SIMI
as Bangladesh building toll,as Bangladesh building toll,5,EQUI
Indian troops,Indian troops,5,EQUI
kill,raid,3,SPE1
Pakistani soldier,Pakistani military post,3,REL
Brazilian leader,Brazil leader,5,EQUI
crisis talks,reform vote,1,REL
US,US House,3,REL
in Iraq,across Iraq,5,EQUI
killed,killed,5,EQUI
in attacks,in attacks,5,EQUI
7,27,2,SIMI
in NW Pakistan,in NW Pakista,5,EQUI
killed,killed,5,EQUI
injured,injured,5,EQUI
12,6,2,SIMI
25,12,2,SIMI
in bomb blast,in blast,4,SPE1
Turkish police,British police,2,SIMI
Syria opposition vote,Syrian opposition,3,REL
peace talks,for talks,4,SPE1
Syria car bomb,Sinai car bomb,2,SIMI
at least 12,at least 10 Egyptian soldiers,2,SPE2
kills,kills,5,EQUI
Bangladesh building collapse death toll,Indian building collapse death toll,4,SPE1
hits,rises,5,EQUI
359,to 72,2,SIMI
in `` insider '' attack,in bomb attack,3,SIMI
killed,killed,5,EQUI
in Afghanistan,in NW Pakistan,3,SIMI
Two U.S. soldiers,8 soldiers,2,SPE1
kills,kills,5,EQUI
10 young girls,nine,2,SIMI
Blast,Blast,5,EQUI
in eastern Afghanistan,in southern Afghanistan,3,SIMI
at sea,at sea,5,EQUI
's chemical weapons,Syria chemical weapon stockpile,4,SPE2
could end up,to destroy,3,SIMI
in Pakistan,in Pakistan,5,EQUI
female politician,5 female teachers,3,SPE2
Gunmen,Gunmen,5,EQUI
kill,kill,5,EQUI
Ready,ready,5,EQUI
China,China,5,EQUI
Dzhokhar Tsarnaev,Dzhokhar Tsarnaev,5,EQUI
not guilty,charged,3,REL
to Boston bombing charges,in Boston Marathon bombing,4,SPE2
P.G. police,Police,4,SPE1
seeking,seek,5,EQUI
Egyptian army,'s Morsi,3,REL
Cryptic crossword,Quiz crossword,5,EQUI
Saturday 27th April,Saturday 27th April,5,EQUI
Angelina Jolie,Angelina Jolie and the complex truth,3,SPE2
of breast cancer,about breast cancer,5,EQUI
from Israeli prison,in Israel jails,4,SIMI
26 Palestinian prisoners,Palestinian prisoner,3,SPE2
Syria regime,Syria army,3,REL
evacuation,mop-up operations,3,SPE1
near Damascus,near Damascus,5,EQUI
Twelve,Five,3,SIMI
killed,Killed,5,EQUI
raid,in Blasts,3,SIMI
"Nicaragua , Venezuela",Bolivia,2,SIMI
asylum,asylum,5,EQUI
to Snowden,to Snowden,5,EQUI
offer,would grant,5,EQUI
after Alabama school bus shooting,in middle school shooting,1,SIMI
5,3,4,SIMI
in Pakistan blast,in Boston blasts,2,SIMI
killed,killed,5,EQUI
injured,injured,5,EQUI
50,138,2,SIMI
to strengthen,to strengthen,5,EQUI
occupied Palestinian territory,occupied Palestinian territory,5,EQUI
Palestinians,Palestinians,5,EQUI
coordinate,coordinated,5,EQUI
on peace talks,on peace talks,5,EQUI
"Palestinians , Jordan",PA,2,REL
kills,kills,5,EQUI
5,at least ten,3,SPE1
in Pakistan,in Pakistan,5,EQUI
to dispute,cop on,3,REL
` Blade Runner ' Pistorius,Pistorius,4,SPE1
president,Former New Mexico Gov. Richardson,3,SPE2
across Egypt,at Cairo,2,SPE2
Four,Student,2,SPE2
in clashes,in clashes,5,EQUI
killed,killed,5,EQUI
Afghan police,"5 Taliban , 5 Afghan police",3,SPE2
kill,killed,5,EQUI
of Its Chemical Weapons Stockpile,Chemical Weapons,3,SIMI
Mixed reactions,legalizes,2,REL
to NZ same-sex marriage,same-sex marriage,5,EQUI
's Shebab,Syrian rebels,2,SIMI
responsibility,responsibility,5,EQUI
claims,claim,5,EQUI
Glasgow Helicopter Crash,Glasgow Helicopter Crash,5,EQUI
India,India,5,EQUI
Braces,red alert,3,REL
for Massive Cyclone,for cyclone Phailin,4,SPE2
Many,Many,5,EQUI
killed,killed,5,EQUI
Singapore shares,Singapore shares,5,EQUI
lower,higher,4,OPPO
open,open,5,EQUI
on Friday,on Thursday,4,SIMI
11 Dead,kill,3,SIMI
Two Earthquakes,Twin quakes,4,SIMI
Northwest China,in China,4,SPE1
Egypt ministry,Egypt,3,REL
to pro-Morsi protests,after pro-Morsi protest,5,EQUI
standing,is,5,EQUI
on tree branches,on tree branches,5,EQUI
A cat,A black and white cat,4,SPE2
A large boat,A large boat,5,EQUI
in the water,on the sea,4,SPE2
A passenger train,A passenger train,5,EQUI
waiting,sits,4,SIMI
in a station,in the station,5,EQUI
on the floor,on the floor,5,EQUI
sitting,sitting,5,EQUI
An Apple computer,A Macintosh computer,5,EQUI
A jockey,A jockey,5,EQUI
a horse,a horse,5,EQUI
riding,riding,5,EQUI
A woman,A young girl,4,SIMI
a brown horse,a brown horse,5,EQUI
riding,riding,5,EQUI
sleeps,asleep,5,EQUI
A man,A man,5,EQUI
with a baby,holding a baby,4,SPE2
in front of yellow flowers,in a field,2,SIMI
standing,standing,5,EQUI
A black dog,A black dog,5,EQUI
in afield,in a field,5,EQUI
standing,grazing,3,SPE2
sheep,A sheep,5,EQUI
standing,stands,5,EQUI
A dark brown horse,A brown horse,4,SPE1
in a field,in a lush green field,3,SPE2
with food,with food and beer,4,SPE2
of people,of people,5,EQUI
around a table,around a table,5,EQUI
A group,A group,5,EQUI
sitting,sit,5,EQUI
A brown horse,A brown horse,5,EQUI
in a lush green field,in a green field,4,SPE1
with two cats,with two cats,5,EQUI
at her feet,at her feet,5,EQUI
in a kitchen,in the kitchen,5,EQUI
stands,is standing,5,EQUI
An elderly woman,The old lady,5,EQUI
Red double decker bus,Double decker passenger bus,4,SPE1
through the streets,with traffic,3,REL
driving,driving,5,EQUI
in a cluttered room,in a cluttered room,5,EQUI
sitting,lies,4,SIMI
A man,A man,5,EQUI
walking,walking,5,EQUI
under trees,under the tree,4,SIMI
Black cow,Cow,4,SPE1
in pasture,in a pasture,5,EQUI
A smiling woman,Two women,3,SIMI
with another smiling woman,laughing,2,REL
sitting,sitting,5,EQUI
outside,outside,5,EQUI
with a big necklace,with a black top and a necklace,3,SPE2
a woman,A young woman,4,SPE2
in grass,in a grassy area,5,EQUI
standing,standing,5,EQUI
Brown and white cow,A brown and white cow,5,EQUI
a horse,a horse,5,EQUI
riding,rides,5,EQUI
A jockey,A jockey,5,EQUI
rides,rides,5,EQUI
A person,A person,5,EQUI
a bike,a bike,5,EQUI
a helmet,a bike helmet,5,EQUI
wearing,wearing,5,EQUI
of horses,of horses,5,EQUI
grazing,grazing,5,EQUI
Group,A group,5,EQUI
in grassy field,in a field,4,SPE1
a helmet,a bike helmet,5,EQUI
A young blonde girl,A young girl,4,SPE1
behind her,in the background,5,EQUI
with a red bicycle,with a bicycle,4,SPE1
wearing,wearing,5,EQUI
A striped cat,Domestic cat,3,SIMI
laying down,laying,5,EQUI
of cat litter,of cat litter,5,EQUI
Five birds,Several cardinals,3,SIMI
on the snow,in the snow,5,EQUI
stand,stand,5,EQUI
posing,is standing,4,SPE1
by a pillar,by a pillar,5,EQUI
A woman,a woman,5,EQUI
with a U2 sign,where `` u2 '' is written,5,EQUI
A red moped,The red scooter,4,SPE2
parked,is sitting,4,SIMI
on a sidewalk,on the street,4,SPE1
in front of graffiti,in front of the building,3,REL
on couch,on a couch,5,EQUI
Two dogs and one cat,Two dogs and a cat,5,EQUI
sitting,resting,4,SIMI
with their thumbs up,the thumbs up sign,5,EQUI
One Asian and one occasion woman,Two women,2,SPE1
smiling,are posing,3,REL
in front of an alpine lake,"next to a mountain , and a body",4,SIMI
grazing,grazing,5,EQUI
Two mountain goats,Two animals,1,SPE1
in a station,at the city train station,4,SPE2
waiting,waiting,5,EQUI
A passenger train,A passenger train,5,EQUI
A bicycle,A bicycle,5,EQUI
is parked,is parked,5,EQUI
by a shop,outside a bookstore,4,SPE2
in a black leather chair,on a leather chair,4,SPE1
A orange and white cat,A ginger and white cat,4,SPE2
laying,asleep,4,SIMI
on train tracks,on the train tracks,5,EQUI
Black train,A train,4,SPE1
on a black couch,on couch,4,SPE1
Young couple,Young couple,5,EQUI
sitting,sitting,5,EQUI
on a couch,on couch,5,EQUI
A couple,Young couple,4,SPE2
posing,sitting,3,REL
Red double decker bus,Red double decker bus,5,EQUI
A group,A group,5,EQUI
sitting,sitting,5,EQUI
at a restaurant table,around a table,4,SPE1
of people,of people,5,EQUI
napping,sleeping,4,SIMI
under a small table,under a table,4,SPE1
a dog,A dog,5,EQUI
on water,on the water,5,EQUI
A boat,Sail boat,4,SPE2
is sailing,sailing,5,EQUI
a small baby,a baby,4,SPE1
holding,holding,5,EQUI
A smiling woman,Two smiling women,4,SIMI
Red double decker bus,A red double decker bus,5,EQUI
of street,on a city street,4,SPE2
the window,of a window,5,EQUI
looking out,looking out,5,EQUI
Gray cat,A cat,4,SPE1
on the tracks,on the train track,4,SIMI
sitting,are sitting,5,EQUI
Two green and white trains,Two green and white trains,5,EQUI
the camera,the camera,5,EQUI
A cat,"A gray , black , and white cat",3,SPE2
looking at,looking at,5,EQUI
A gray cat,A gray cat,5,EQUI
on a wooden table,on a dining table,4,SIMI
lying,laying,5,EQUI
in a chair,on chair,5,EQUI
with a baby,with infant,5,EQUI
A father,Man,3,SPE1
napping,sleeping,4,SIMI
on tree branch,on a tree branch,5,EQUI
perched,perched,5,EQUI
Green and white bird,Bird,4,SPE2
A red and white plane,Red and white plane,5,EQUI
flying,flying,5,EQUI
with a viking hat,a viking hat,5,EQUI
a woman,Smiling woman,4,SPE2
on,wearing,4,SIMI
standing,stands,5,EQUI
underneath a chair,on the floor,4,SPE1
A small white cat,A white cat,4,SPE1
at a table,around a table,5,EQUI
of people,of elderly people,4,SPE2
A group,Group,5,EQUI
eat,sitting,3,REL
standing,stands,5,EQUI
A bull,A brown horse,2,SIMI
in the field,in a lush green field,2,SPE2
jumping,playing,4,REL
at a table,around a dining table,2,SPE2
A group,A group,5,EQUI
of people,of elderly people,4,SPE2
are looking at,looking out,4,SIMI
Two cats,A white cat,2,SIMI
a window,of a window,5,EQUI
in the background,in the background,5,EQUI
with a horse,with other lambs,2,SIMI
perched,is perched,5,EQUI
A small red and gray bird,A red and brown bird,3,SIMI
amongst the bare branches,on branches,3,SPE1
on a rural road,along a dirt road,2,SIMI
is driving,driving,5,EQUI
Three young women,Two Indian women,2,SIMI
in a field,in a field,5,EQUI
of sheep,of horses,2,SIMI
A group,A group,5,EQUI
in a green pasture,in the pasture,4,SPE1
Two white cows,The tan horse,1,SIMI
at a table,at a table,5,EQUI
Two people,four people,4,SIMI
sitting,sitting,5,EQUI
A women,A man and two women,2,SPE2
sitting,sitting,5,EQUI
on a sofa,on a blue sofa,4,SIMI
Black and white cat,The black and white cat,5,EQUI
lying,lounges,3,SIMI
under bush,in the dirt,1,REL
at the camera,at the camera,5,EQUI
is looking,looking,5,EQUI
The lamb,A cat,2,SIMI
A black and white photo,A black and white photo,5,EQUI
A black and white cat,Black and white lamb,2,SIMI
posing,are posing,5,EQUI
for the camera,for the camera,5,EQUI
A man and small child,A man and woman,3,SIMI
A black vehicle,A black car,4,SPE2
parked,parked,5,EQUI
The black and white bull,A black and white dog,2,SIMI
at the camera,at the camera,5,EQUI
is looking,looking,5,EQUI
in the background,in the background,5,EQUI
of sheep,A white cat,1,SIMI
beside the road,in the field,1,SIMI
are grazing,grazing,5,EQUI
Five cows,Several sheep,2,SIMI
in a living room,in a dining room,4,SIMI
A silver bicycle,A bicycle,4,SPE1
sleeping,sitting,3,REL
on the sofa,on a green couch,4,SPE2
The men,a young boy,2,SIMI
sits,relaxes,3,SIMI
A brown and white dog,A small orange and white dog,3,SPE2
on a floral-patterned chair,on a flower print pillow,2,SIMI
looking,looking,5,EQUI
Two sheep,Two sheep,5,EQUI
at the camera,at the camera,5,EQUI
in a field,in a field,5,EQUI
in the background,in the background,5,EQUI
laying,lying,5,EQUI
at the camera,at the camera,5,EQUI
A cat,A tan dog,3,SIMI
looking,looking up,4,SPE2
on a red cushion,on a moggie bed,4,SPE1
a boat,on a boat,5,EQUI
near the shore,on green water,2,SIMI
Four people,four people,5,EQUI
are rowing,are,3,SPE1
in the sky,in the sky,5,EQUI
Two airplanes,A plane,3,SIMI
in front of the laundry room,with tan walls and a washer and dryer,4,SIMI
on the porch,on acouch,2,REL
People,People,5,EQUI
sitting,sitting,5,EQUI
sitting,riding,2,SIMI
A man,A man,5,EQUI
near two tiny animals,near her children,3,SIMI
stands,standing,5,EQUI
A lamb,A sheep,4,SIMI
on a grassy field,on a green hill,3,SIMI
Tan cow,Many sheep,2,SIMI
in front of some ruins,in front of a building,4,REL
A bicycle,A pink bicycle,4,SPE2
of black faced sheep,A black faced sheep,5,EQUI
walking,flying,1,SIMI
standing,standing,5,EQUI
in a grassy field,in a grassy field,5,EQUI
A black and white cow,A blue jay,1,SIMI
sitting,sitting,2,SIMI
A young woman,Two young kids,2,SIMI
dressed,dressed up,4,SPE2
on side,on a crowded street,3,SPE2
Red double decker bus,A red double decker bus,5,EQUI
A bus,A green bus,4,SPE2
drives down,drives down,5,EQUI
a busy road,a road,4,SPE1
A young woman,A women,4,SPE1
is wearing,wearing,5,EQUI
a bikini top and jeans,a bikini top and jeans,5,EQUI
A yellow and blue airplane,The white airplane,3,SIMI
is flying,is flying,5,EQUI
in the sky,in the blue sky,4,SPE2
near the water,on a beach,3,SPE2
with two Indian girls,with two Indian girls,5,EQUI
Two Indian women,Two Indian woman,5,EQUI
A living room,A living room,5,EQUI
in the background,in the background,5,EQUI
with a dining table,with large sofas and a dining table,3,SPE2
with trees,with trees,5,EQUI
paddling,padding,5,EQUI
Two people,Two people,5,EQUI
in the background,in the background,5,EQUI
in a red canoe,in a yellow canoe,4,SIMI
at sunset,near the sunset,4,SIMI
Plane,A plane,5,EQUI
in mid-flight,flying,4,SIMI
to the side,to the side,5,EQUI
A yellow parrot,A yellow and orange bird,4,SIMI
of its cage,of a cage,5,EQUI
clings,hold on,5,EQUI
sailing,sailing,5,EQUI
in a small sailboat,in a small sailboat,5,EQUI
Couple,Two men,4,SPE2
Red double decker bus,"A red , double-decker bus",5,EQUI
A close-up,Close up image,5,EQUI
with its tongue,with it 's tongue,5,EQUI
hanging out,hanging out,5,EQUI
of a sheep,of a sheep,5,EQUI
sitting,perched,4,SIMI
on a branch,on an icy branch,4,SPE2
a small bird,A small bird,5,EQUI
stand,walking,2,SIMI
A brown duck and white duck,Brown and white ducks,4,SPE1
on the grass,on green grass,4,SPE2
Cows,Five cows,4,SPE2
grazing,grazing,5,EQUI
in a snow covered field,in a snow covered field,5,EQUI
with blue shirt,in a blue shirt and tan pants,3,SPE2
in front of a fountain,in front of a statue,3,SIMI
standing,is standing,5,EQUI
Man,A man,5,EQUI
on the floor,on on the floor,5,EQUI
Several televisions,Three televisions,4,SPE2
in front of a bookcase,in front of book shelves,5,EQUI
A clear plastic chair,a clear plastic chair,5,EQUI
stands,standing,5,EQUI
A sheep,A large sheep,4,SPE2
on a hillside,on a hill,4,SIMI
Blue and red plane,a blue and red airplane,5,EQUI
in mid-air flight,while in flight,5,EQUI
on the floor,on the floor,5,EQUI
A flat screen TV,A flat-screen TV,5,EQUI
with several computer monitors,with four computer monitors,4,SPE2
Room,A room,5,EQUI
of a stop sign,of a sign,4,SPE1
on it,on,5,EQUI
the back,The back,5,EQUI
with many stickers,with stickers,4,SPE1
Living room or den,Living room,4,SPE1
with large screen television,with tan furniture and flat screen television,3,SPE2
driving down,driving down,5,EQUI
A doubly decker red bus,A red double decker bus,5,EQUI
the road,a street,4,SPE2
for camera,for the camera,5,EQUI
stand,are posing,4,SIMI
A man and woman,A man and woman,5,EQUI
A white bird,Large white bird,4,SPE2
with long orange legs,with long orange beak,3,SIMI
by a lake,on the shoreline,4,SPE1
standing,standing,5,EQUI
driving,is riding,4,SIMI
through a snow covered city,in the snow,3,SPE1
A red train,The train,4,SPE1
on the runway,on a runway,5,EQUI
sits,parked,4,SIMI
A Das Air Cargo plane,A passenger plane,4,SPE1
on purple sheet,on a purple blanket,4,SIMI
A cat,A black and white cat,3,SPE2
sleeps,sleeps,5,EQUI
an England street,the street,4,SPE1
A red and white bus,A red and white England bus,4,SPE2
drives down,drives down,5,EQUI
a jockey,A jockey,5,EQUI
riding,riding,5,EQUI
a horse,a horse,5,EQUI
A kitchen,A kitchen,5,EQUI
with wood cabinets and dining table,with wooden cabinets and furniture,4,SPE1
of a cityscape,of a city,5,EQUI
with a graffiti scene,by a mural,4,SIMI
A motorcycles,A motorcycle,5,EQUI
is parked,is parked,5,EQUI
in the water,in the water,5,EQUI
A bird,A large black bird,3,SPE2
in a fenced area,in a gated yard,4,SIMI
pets,pets,5,EQUI
a dog,a dog,5,EQUI
A woman,A woman,5,EQUI
reclines,sitting,4,SIMI
on an office chair,on an office chair,5,EQUI
A cat,A ginger cat,4,SPE2
sits,is,5,EQUI
at the train station,at the station,5,EQUI
The train,The blue train,4,SPE2
of horses,of horses,5,EQUI
A group,Group,5,EQUI
grazing,grazing,5,EQUI
in a field,in grassy field,4,SPE2
on an icy branch,on a branch,4,SPE1
A small bird,A yellow bird,4,SIMI
perched,perched,5,EQUI
Boy,A boy,5,EQUI
typing,looking,2,REL
on a computer,at a computer screen,3,SIMI
their tires,tires,5,EQUI
spins,spinning,5,EQUI
A red truck,Red truck,5,EQUI
Four blue and yellow planes,Four blue and yellow planes,5,EQUI
flying,in flight,5,EQUI
A train,A train,5,EQUI
is,parked,5,EQUI
at a train station,at a train station,5,EQUI
through water,towards a the shore,3,SPE2
in yellow canoe,a yellow canoe,5,EQUI
Man,Man,5,EQUI
paddling,paddling,5,EQUI
on the floor,on the floor,5,EQUI
Beer bottles -LRB- -LRB- Harp Lager -RRB- -RRB-,A row,4,SPE1
giving,giving,5,EQUI
the thumbs up sign,the thumbs up sign,5,EQUI
Two women,Two smiling young women,3,SPE2
on a city street,the road,4,SPE1
A double decker red United bus,A doubly decker red bus,4,SPE1
at table,at a table,5,EQUI
of restaurant,at a restaurant,5,EQUI
Group,Two people,4,SIMI
sitting,sitting,5,EQUI
drinking,are drinking,5,EQUI
Two dairy cows,Two cows,4,SPE1
from a pond,from a pond,5,EQUI
in an urban setting,in a fenced area,1,SIMI
ride,riding,3,SIMI
People,People,5,EQUI
standing,talking,2,REL
Two women,Two men,3,SIMI
in front of tour bus,in front of a plane,2,SIMI
Large silver locomotive engine,The silver train,4,SPE1
in a shed,in a station,3,SIMI
is parked,stand,2,SIMI
outside a bookstore,outside a bookstore,5,EQUI
standing,standing,3,SIMI
in background,in the background,5,EQUI
is eating,eating,5,EQUI
fruit,fruit,5,EQUI
on a wire grate,on a bird feeder,3,SPE2
A yellow bird,A yellow bird,5,EQUI
on the tracks,down the tracks,5,EQUI
sitting,traveling,2,SIMI
A train,A train,5,EQUI
sits,standing,2,SIMI
A man,A woman,3,SIMI
a white horse,a brown horse,4,SIMI
riding,riding,5,EQUI
is standing,hold on,2,SIMI
riding,riding,5,EQUI
a brown horse,a brown horse,5,EQUI
A girl,The jockey,3,SPE2
A man,The man,5,EQUI
sitting,is standing,2,SIMI
on the grass,on the sidewalk,2,SIMI
standing,standing,5,EQUI
A white cat,A sheep,2,SIMI
on a street,on the street,5,EQUI
A passenger jet,A large passenger jet,4,SPE2
on a runway,close to the ground,2,SPE1
sits,flying,2,REL
on a table,at a table,5,EQUI
sitting,sitting,3,SIMI
A white cat,A pretty white striped cat,3,SPE2
on a carpet,the table,1,SIMI
in front of an apartment building,in front of building,4,SPE1
on the ground,under a tree,2,SPE2
The black bird,with a cow,1,SIMI
of a cat,of a horse,2,SIMI
A close-up,A close-up,5,EQUI
are swimming,fly,2,SIMI
The birds,Birds,5,EQUI
in the water,over water,2,SIMI
on a crowded street,on a public street,4,SPE1
A red double decker bus,A white bus,3,SIMI
in a field,in a field,4,SPE2
grazing,grazing,5,EQUI
A group,A brown horse,3,SPE2
near a field,in the grass,3,SIMI
sitting,is sitting,4,SIMI
Two women,Two women,5,EQUI
in the kitchen,in kitchen,5,EQUI
toward the camera,towards the camera,5,EQUI
moving,flying,2,SIMI
"with table , chair and sofa","with a blue sofa , camp bed , wooden bench and dresser",1,SPE2
A living room,A living room,5,EQUI
in the background,in the background,5,EQUI
A steam engine,A train,4,SIMI
a train track,at a train station,3,REL
sitting,sitting,4,SIMI
Two women,Two women,5,EQUI
outside,outside,3,SPE2
sitting,standing,2,SIMI
toward the camera,at the camera,5,EQUI
The bird,The sheep,1,SIMI
on the branch,under the trees,2,SIMI
is sitting,is standing,3,SIMI
